CATEGORY
ACTOR IN A LEADING ROLE
ACTRESS IN A LEADING ROLE
ANIMATED FEATURE FILM
Art Direction / Production Design
BEST PICTURE
CINEMATOGRAPHY
COSTUME DESIGN
DIRECTING
HONORARY AWARD
MUSIC (Original Score)
MUSIC (Original Song)
SOUND
SPECIAL EFFECTS
VISUAL EFFECTS
WRITING (Adapted Screenplay)
WRITING (Original Screenplay)
