YEAR,CATEGORY,NAME,WINORLOSE
1938,ACTRESS IN A LEADING ROLE,Bette Davis,TRUE
1938,ACTRESS IN A LEADING ROLE,Wendy Hiller,FALSE
1938,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1938,ACTRESS IN A LEADING ROLE,Margaret Sullavan,FALSE
1939,ACTOR IN A LEADING ROLE,Robert Donat,TRUE
1939,ACTOR IN A LEADING ROLE,Clark Gable,FALSE
1939,ACTOR IN A LEADING ROLE,Laurence Olivier,FALSE
1939,ACTOR IN A LEADING ROLE,Mickey Rooney,FALSE
1939,ACTOR IN A LEADING ROLE,James Stewart,FALSE
1939,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1939,ACTRESS IN A LEADING ROLE,Irene Dunne,FALSE
1939,ACTRESS IN A LEADING ROLE,Greta Garbo,FALSE
1939,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1939,ACTRESS IN A LEADING ROLE,Vivien Leigh,TRUE
1940,ACTOR IN A LEADING ROLE,Charles Chaplin,FALSE
1940,ACTOR IN A LEADING ROLE,Henry Fonda,FALSE
1940,ACTOR IN A LEADING ROLE,Raymond Massey,FALSE
1940,ACTOR IN A LEADING ROLE,Laurence Olivier,FALSE
1940,ACTOR IN A LEADING ROLE,James Stewart,TRUE
1940,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1940,ACTRESS IN A LEADING ROLE,Joan Fontaine,FALSE
1940,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1940,ACTRESS IN A LEADING ROLE,Ginger Rogers,TRUE
1940,ACTRESS IN A LEADING ROLE,Martha Scott,FALSE
1941,ACTOR IN A LEADING ROLE,Gary Cooper,TRUE
1941,ACTOR IN A LEADING ROLE,Cary Grant,FALSE
1941,ACTOR IN A LEADING ROLE,Walter Huston,FALSE
1941,ACTOR IN A LEADING ROLE,Robert Montgomery,FALSE
1941,ACTOR IN A LEADING ROLE,Orson Welles,FALSE
1941,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1941,ACTRESS IN A LEADING ROLE,Olivia de Havilland,FALSE
1941,ACTRESS IN A LEADING ROLE,Joan Fontaine,TRUE
1941,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1941,ACTRESS IN A LEADING ROLE,Barbara Stanwyck,FALSE
1942,ACTOR IN A LEADING ROLE,James Cagney,TRUE
1942,ACTOR IN A LEADING ROLE,Ronald Colman,FALSE
1942,ACTOR IN A LEADING ROLE,Gary Cooper,FALSE
1942,ACTOR IN A LEADING ROLE,Walter Pidgeon,FALSE
1942,ACTOR IN A LEADING ROLE,Monty Woolley,FALSE
1942,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1942,ACTRESS IN A LEADING ROLE,Greer Garson,TRUE
1942,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1942,ACTRESS IN A LEADING ROLE,Rosalind Russell,FALSE
1942,ACTRESS IN A LEADING ROLE,Teresa Wright,FALSE
1943,ACTOR IN A LEADING ROLE,Humphrey Bogart,FALSE
1943,ACTOR IN A LEADING ROLE,Gary Cooper,FALSE
1943,ACTOR IN A LEADING ROLE,Paul Lukas,TRUE
1943,ACTOR IN A LEADING ROLE,Walter Pidgeon,FALSE
1943,ACTOR IN A LEADING ROLE,Mickey Rooney,FALSE
1943,ACTRESS IN A LEADING ROLE,Jean Arthur,FALSE
1943,ACTRESS IN A LEADING ROLE,Ingrid Bergman,FALSE
1943,ACTRESS IN A LEADING ROLE,Joan Fontaine,FALSE
1943,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1943,ACTRESS IN A LEADING ROLE,Jennifer Jones,TRUE
1944,ACTOR IN A LEADING ROLE,Charles Boyer,FALSE
1944,ACTOR IN A LEADING ROLE,Bing Crosby,TRUE
1944,ACTOR IN A LEADING ROLE,Barry Fitzgerald,FALSE
1944,ACTOR IN A LEADING ROLE,Cary Grant,FALSE
1944,ACTOR IN A LEADING ROLE,Alexander Knox,FALSE
1944,ACTRESS IN A LEADING ROLE,Ingrid Bergman,TRUE
1944,ACTRESS IN A LEADING ROLE,Claudette Colbert,FALSE
1944,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1944,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1944,ACTRESS IN A LEADING ROLE,Barbara Stanwyck,FALSE
1945,ACTOR IN A LEADING ROLE,Bing Crosby,FALSE
1945,ACTOR IN A LEADING ROLE,Gene Kelly,FALSE
1945,ACTOR IN A LEADING ROLE,Ray Milland,TRUE
1945,ACTOR IN A LEADING ROLE,Gregory Peck,FALSE
1945,ACTOR IN A LEADING ROLE,Cornel Wilde,FALSE
1945,ACTRESS IN A LEADING ROLE,Ingrid Bergman,FALSE
1945,ACTRESS IN A LEADING ROLE,Joan Crawford,TRUE
1945,ACTRESS IN A LEADING ROLE,Greer Garson,FALSE
1945,ACTRESS IN A LEADING ROLE,Jennifer Jones,FALSE
1945,ACTRESS IN A LEADING ROLE,Gene Tierney,FALSE
1946,ACTOR IN A LEADING ROLE,Fredric March,TRUE
1946,ACTOR IN A LEADING ROLE,Laurence Olivier,FALSE
1946,ACTOR IN A LEADING ROLE,Larry Parks,FALSE
1946,ACTOR IN A LEADING ROLE,Gregory Peck,FALSE
1946,ACTOR IN A LEADING ROLE,James Stewart,FALSE
1946,ACTRESS IN A LEADING ROLE,Olivia de Havilland,TRUE
1946,ACTRESS IN A LEADING ROLE,Celia Johnson,FALSE
1946,ACTRESS IN A LEADING ROLE,Jennifer Jones,FALSE
1946,ACTRESS IN A LEADING ROLE,Rosalind Russell,FALSE
1946,ACTRESS IN A LEADING ROLE,Jane Wyman,FALSE
1947,ACTOR IN A LEADING ROLE,Ronald Colman,TRUE
1947,ACTOR IN A LEADING ROLE,John Garfield,FALSE
1947,ACTOR IN A LEADING ROLE,Gregory Peck,FALSE
1947,ACTOR IN A LEADING ROLE,William Powell,FALSE
1947,ACTOR IN A LEADING ROLE,Michael Redgrave,FALSE
1947,ACTRESS IN A LEADING ROLE,Joan Crawford,FALSE
1947,ACTRESS IN A LEADING ROLE,Susan Hayward,FALSE
1947,ACTRESS IN A LEADING ROLE,Dorothy McGuire,FALSE
