YEAR,CATEGORY,NAME,WINORLOSE
1931,CINEMATOGRAPHY,Arrowsmith,FALSE
1931,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,FALSE
1931,CINEMATOGRAPHY,Shanghai Express,TRUE
1931,DIRECTING,Bad Girl,TRUE
1931,DIRECTING,The Champ,FALSE
1931,DIRECTING,Shanghai Express,FALSE
1931,SOUND,Metro-Goldwyn-Mayer Studio Sound Department,FALSE
1931,SOUND,Paramount Publix Studio Sound Department,TRUE
1931,SOUND,RKO Radio Studio Sound Department,FALSE
1931,SOUND,Warner Bros.-First National Studio Sound Department,FALSE
1932,ACTOR IN A LEADING ROLE,Leslie Howard,FALSE
1932,ACTOR IN A LEADING ROLE,Charles Laughton,TRUE
1932,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1932,ACTRESS IN A LEADING ROLE,Katharine Hepburn,TRUE
1932,ACTRESS IN A LEADING ROLE,May Robson,FALSE
1932,ACTRESS IN A LEADING ROLE,Diana Wynyard,FALSE
1932,Art Direction / Production Design,Cavalcade,TRUE
1932,Art Direction / Production Design,A Farewell to Arms,FALSE
1932,Art Direction / Production Design,When Ladies Meet,FALSE
1932,CINEMATOGRAPHY,A Farewell to Arms,TRUE
1932,CINEMATOGRAPHY,Reunion in Vienna,FALSE
1932,CINEMATOGRAPHY,The Sign of the Cross,FALSE
1932,DIRECTING,Cavalcade,TRUE
1932,DIRECTING,Lady for a Day,FALSE
1932,DIRECTING,Little Women,FALSE
1932,SOUND,A Farewell to Arms,TRUE
1932,SOUND,42nd Street,FALSE
1932,SOUND,Gold Diggers of 1933,FALSE
1932,SOUND,I Am a Fugitive from a Chain Gang,FALSE
1934,ACTOR IN A LEADING ROLE,Clark Gable,TRUE
1934,ACTOR IN A LEADING ROLE,Frank Morgan,FALSE
1934,ACTOR IN A LEADING ROLE,William Powell,FALSE
1934,ACTRESS IN A LEADING ROLE,Claudette Colbert,TRUE
1934,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1934,ACTRESS IN A LEADING ROLE,Grace Moore,FALSE
1934,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1934,Art Direction / Production Design,The Affairs of Cellini,FALSE
1934,Art Direction / Production Design,The Gay Divorcee,FALSE
1934,Art Direction / Production Design,The Merry Widow,TRUE
1934,CINEMATOGRAPHY,The Affairs of Cellini,FALSE
1934,CINEMATOGRAPHY,Cleopatra,TRUE
1934,CINEMATOGRAPHY,Operator 13,FALSE
1934,DIRECTING,It Happened One Night,TRUE
1934,DIRECTING,One Night of Love,FALSE
1934,DIRECTING,The Thin Man,FALSE
1934,MUSIC (Original Song),Flying Down to Rio,FALSE
1934,MUSIC (Original Song),The Gay Divorcee,TRUE
1934,MUSIC (Original Song),She Loves Me Not,FALSE
1934,SOUND,The Affairs of Cellini,FALSE
1934,SOUND,Cleopatra,FALSE
1934,SOUND,Flirtation Walk,FALSE
1934,SOUND,The Gay Divorcee,FALSE
1934,SOUND,Imitation of Life,FALSE
1934,SOUND,One Night of Love,TRUE
1934,SOUND,Viva Villa!,FALSE
1934,SOUND,The White Parade,FALSE
1935,ACTOR IN A LEADING ROLE,Clark Gable,FALSE
1935,ACTOR IN A LEADING ROLE,Charles Laughton,FALSE
1935,ACTOR IN A LEADING ROLE,Victor McLaglen,TRUE
1935,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1935,ACTOR IN A LEADING ROLE,Franchot Tone,FALSE
1935,ACTRESS IN A LEADING ROLE,Elisabeth Bergner,FALSE
1935,ACTRESS IN A LEADING ROLE,Claudette Colbert,FALSE
1935,ACTRESS IN A LEADING ROLE,Bette Davis,TRUE
1935,ACTRESS IN A LEADING ROLE,Katharine Hepburn,FALSE
1935,ACTRESS IN A LEADING ROLE,Miriam Hopkins,FALSE
1935,ACTRESS IN A LEADING ROLE,Merle Oberon,FALSE
1935,Art Direction / Production Design,The Dark Angel,TRUE
1935,Art Direction / Production Design,The Lives of a Bengal Lancer,FALSE
1935,Art Direction / Production Design,Top Hat,FALSE
1935,CINEMATOGRAPHY,Barbary Coast,FALSE
1935,CINEMATOGRAPHY,The Crusades,FALSE
1935,CINEMATOGRAPHY,Les Miserables,FALSE
1935,CINEMATOGRAPHY,A Midsummer Night's Dream,TRUE
1935,DIRECTING,Captain Blood,FALSE
1935,DIRECTING,The Informer,TRUE
1935,DIRECTING,The Lives of a Bengal Lancer,FALSE
1935,DIRECTING,Mutiny on the Bounty,FALSE
1935,MUSIC (Original Song),Top Hat,FALSE
1935,MUSIC (Original Song),Roberta,FALSE
1935,MUSIC (Original Song),Gold Diggers of 1935,TRUE
1935,SOUND,Bride of Frankenstein,FALSE
1935,SOUND,Captain Blood,FALSE
1935,SOUND,The Dark Angel,FALSE
1935,SOUND,I Dream Too Much,FALSE
1935,SOUND,The Lives of a Bengal Lancer,FALSE
1935,SOUND,Love Me Forever,FALSE
1935,SOUND,Naughty Marietta,TRUE
1935,SOUND,"$1,000 a Minute",FALSE
1935,SOUND,Thanks a Million,FALSE
1936,ACTOR IN A LEADING ROLE,Gary Cooper,FALSE
1936,ACTOR IN A LEADING ROLE,Walter Huston,FALSE
1936,ACTOR IN A LEADING ROLE,Paul Muni,TRUE
1936,ACTOR IN A LEADING ROLE,William Powell,FALSE
1936,ACTOR IN A LEADING ROLE,Spencer Tracy,FALSE
1936,ACTRESS IN A LEADING ROLE,Irene Dunne,FALSE
1936,ACTRESS IN A LEADING ROLE,Gladys George,FALSE
1936,ACTRESS IN A LEADING ROLE,Carole Lombard,FALSE
1936,ACTRESS IN A LEADING ROLE,Luise Rainer,TRUE
1936,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1936,Art Direction / Production Design,Anthony Adverse,FALSE
1936,Art Direction / Production Design,Dodsworth,TRUE
1936,Art Direction / Production Design,The Great Ziegfeld,FALSE
1936,Art Direction / Production Design,Lloyds of London,FALSE
1936,Art Direction / Production Design,The Magnificent Brute,FALSE
1936,Art Direction / Production Design,Romeo and Juliet,FALSE
1936,Art Direction / Production Design,Winterset,FALSE
1936,CINEMATOGRAPHY,Anthony Adverse,TRUE
1936,CINEMATOGRAPHY,The General Died at Dawn,FALSE
1936,CINEMATOGRAPHY,The Gorgeous Hussy,FALSE
1936,DIRECTING,Dodsworth,FALSE
1936,DIRECTING,The Great Ziegfeld,FALSE
1936,DIRECTING,Mr. Deeds Goes to Town,TRUE
1936,DIRECTING,My Man Godfrey,FALSE
1936,DIRECTING,San Francisco,FALSE
1936,MUSIC (Original Song),Suzy,FALSE
1936,MUSIC (Original Song),Born to Dance,FALSE
1936,MUSIC (Original Song),Trail of the Lonesome Pine,FALSE
1936,MUSIC (Original Song),Pennies from Heaven,FALSE
1936,MUSIC (Original Song),Swing Time,TRUE
1936,MUSIC (Original Song),"Sing, Baby, Sing",FALSE
1936,SOUND,Banjo on My Knee,FALSE
1936,SOUND,The Charge of the Light Brigade,FALSE
1936,SOUND,Dodsworth,FALSE
1936,SOUND,General Spanky,FALSE
1936,SOUND,Mr. Deeds Goes to Town,FALSE
1936,SOUND,San Francisco,TRUE
1936,SOUND,The Texas Rangers,FALSE
1936,SOUND,That Girl from Paris,FALSE
1936,SOUND,Three Smart Girls,FALSE
1937,ACTOR IN A LEADING ROLE,Charles Boyer,FALSE
1937,ACTOR IN A LEADING ROLE,Fredric March,FALSE
1937,ACTOR IN A LEADING ROLE,Robert Montgomery,FALSE
1937,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1937,ACTOR IN A LEADING ROLE,Spencer Tracy,TRUE
1937,ACTRESS IN A LEADING ROLE,Irene Dunne,FALSE
1937,ACTRESS IN A LEADING ROLE,Greta Garbo,FALSE
1937,ACTRESS IN A LEADING ROLE,Janet Gaynor,FALSE
1937,ACTRESS IN A LEADING ROLE,Luise Rainer,TRUE
1937,ACTRESS IN A LEADING ROLE,Barbara Stanwyck,FALSE
1937,Art Direction / Production Design,Conquest,FALSE
1937,Art Direction / Production Design,A Damsel in Distress,FALSE
1937,Art Direction / Production Design,Dead End,FALSE
1937,Art Direction / Production Design,Every Day's a Holiday,FALSE
1937,Art Direction / Production Design,The Life of Emile Zola,FALSE
1937,Art Direction / Production Design,Lost Horizon,TRUE
1937,Art Direction / Production Design,Manhattan Merry-Go-Round,FALSE
1937,Art Direction / Production Design,The Prisoner of Zenda,FALSE
1937,Art Direction / Production Design,Souls at Sea,FALSE
1937,Art Direction / Production Design,Walter Wanger's Vogues of 1938,FALSE
1937,Art Direction / Production Design,Wee Willie Winkie,FALSE
1937,Art Direction / Production Design,You're a Sweetheart,FALSE
1937,CINEMATOGRAPHY,Dead End,FALSE
1937,CINEMATOGRAPHY,The Good Earth,TRUE
1937,CINEMATOGRAPHY,Wings over Honolulu,FALSE
1937,DIRECTING,The Awful Truth,TRUE
1937,DIRECTING,The Good Earth,FALSE
1937,DIRECTING,The Life of Emile Zola,FALSE
1937,DIRECTING,Stage Door,FALSE
1937,DIRECTING,A Star Is Born,FALSE
1937,MUSIC (Original Song),Mr. Dodd Takes the Air,FALSE
1937,MUSIC (Original Song),Waikiki Wedding,TRUE
1937,MUSIC (Original Song),Walter Wanger's Vogues of 1938,FALSE
1937,MUSIC (Original Song),Shall We Dance,FALSE
1937,MUSIC (Original Song),Artists and Models,FALSE
1937,SOUND,The Girl Said No,FALSE
1937,SOUND,Hitting a New High,FALSE
1937,SOUND,The Hurricane,TRUE
